0	Log out
1	Show/hide phases, power balance and log
2	Show/hide phases, power balance and log – controls remain visible
3	Active expeditions on the selected planet (research ships on missions)
4	Current score – breakdown and history in the Score tab
5	Current password
6	Alliance tag (4)
7	Alliance tag (e.g. ABCD)
8	Attack points of the selected planet's fleet: determine success chance and loot when attacking
9	Announcement (max. 300 characters)…
10	Show/hide intelligence markers (scouting reports and bearings)
11	Start
12	Username (registration name)
13	Reports & messages
14	Describe the bug (what happened, what did you expect?) or your idea…
15	Show/hide inventory lists
16	Subject
17	Report a bug or submit a suggestion
18	Close chat
19	Code (8–24 characters, e.g. STARDUST25)
20	Enter code…
21	Record the battle as a portrait video (9:16) – share it on TikTok, Reels or Stories
22	Duration
23	These figures apply to your entire account and do not change when switching location.
24	These figures apply only to the selected location. They change when you switch locations.
25	Email (required to verify your account)
26	Add email address
27	Show/hide your mission routes between systems
28	Custom name for this colony…
29	Settings
30	Show/hide event badges (pirate base, aliens, war) and wormholes
31	Researched technology levels out of all available levels
32	Fleet of the selected planet (switch in the Base/Fleet tab)
33	Show/hide fleet position, colonies and leaderboard
34	Help
35	Maximum redemptions (0 = unlimited)
36	Combat points: score from won battles and duels (not the same as attack/defence points)
37	Abandon colony
38	Commander level (more XP = higher production)
39	Commander name
40	Show compact or expanded header
41	Briefly explain the issue (e.g. inappropriate name)…
42	Short note for this location (optional)…
43	More
44	Show/hide NPC territory (system ring and crest)
45	Message to all players…
46	Message to your alliance…
47	Message (optional, e.g. an apology for the weekend outage)
48	Write a message…
49	Send message
50	Search for a name or alliance tag…
51	Name or part of a name (at least 2 characters)
52	New email address
53	New password (at least 8 characters)
54	Note for yourself (e.g. TikTok 21 Aug)
55	Next system
56	Next system (→ arrow key)
57	Password
58	Close
59	Remove screenshot
60	Screenshot preview
61	Close side menu
62	Clear search
63	Search for a system or planet…
64	Close system (return to galaxy overview)
65	Email body (max. 2,000 characters) – paragraphs are preserved.
66	View top supporters or buy the developer a coffee (Ko-fi)
67	Skip tutorial
68	Defence points of the selected planet: determine the chance of repelling NPC raids there. Each planet defends itself with its own structures.
69	Previous system
70	Previous system (← arrow key)
71	What is happening, e.g. server migration, brief downtime
72	Show more statistics
73	your-ko-fi-email@example.com
74	e.g. Looking for active players, PvE focused…
