0	(part of the capped combat bonus group). Upgrades cost resources and credits.
1	, a browser game directory ranked by votes. Every vote brings new commanders to the galaxy. It takes ten seconds and does not require an account there.
2	, otherwise they can sign straight back in with the same password.
3	- appears in the global chat (the "Global" tab) with a clearly highlighted sender and the existing unread indicator on the chat icon.
4	- for donations made outside Ko-fi, email matching problems, or as a thank-you. Unlocks the same three automations as a Ko-fi donation and shows the same leaderboard badge. Existing Ko-fi support is unaffected.
5	- only available with a game server.
6	--s
7	. The game only grows when you spread the word: on TikTok, Instagram, YouTube, or among friends. Sharing your invitation link triggers the referral bonus for
8	. War points are awarded by the
9	. A listed module immediately enters
10	0/5 explored
11	1 ship
12	15 building types at each location and 19 research branches across more than 370 levels. Each planet type has its own bonus: ice worlds yield more deuterium, volcanic worlds more ore. Terraforming lets you change this later, provided you can afford it.
13	30 days
14	4d
15	60 days
16	7 days
17	90 days
18	: a successful attack on an enemy member awards +10, a failed attack +2, a successful defence +6 for the defenders, and a fallen enemy outpost +8. A maximum of 3 attacks count per attacker and target each day. Successful war attacks also grant +50% combat points. The alliance with the most war points wins: its contributors receive 1,200 credits and 15 stardust; contributors on the losing side receive 200 credits. Wins and losses count as war renown. Only the leader can declare war or make peace early.
19	ATTACK
20	SIGN IN
21	Cancel
22	Sign out
23	Expand or collapse sections in every tab; each section remembers its state
24	Submit
25	Admin area
26	Administration
27	Active effects
28	Active expeditions
29	Active fleets
30	Active missions
31	Activity log
32	Refresh
33	Current production per second
34	Current supporters
35	Current score
36	All
37	All alliances, their members, base levels and pending applications.
38	Your empire's key figures at a glance: production per second, economy, combat strength and expansion.
39	All accounts by suspicious activity
40	All members sharing an alliance tag contribute resources together. Once the target is reached, everyone receives the permanent bonus.
41	End all sessions
42	Everything players have sent through
43	Alliance
44	Disband alliance
45	Alliance banner (visible to all members)
46	Alliance applications
47	Alliance chronicle
48	Alliance honorary titles
49	Alliance fleet paint schemes
50	Alliance buildings
51	Alliance wars
52	Alliance raid
53	Alliance raid announced
54	Alliance leaderboard
55	Alliance donations (week)
56	Alliance donation ranking
57	Alliance technologies
58	Alliance base
59	Alliances
60	Alliances & PvP
61	Alliance research
62	Add as friend
63	On
64	Send to all players
65	Deliver to the front
66	On - automatically opens the battle replay when a battle takes place while you are playing, whether you are attacking or being raided
67	Analytics
68	Incoming raids
69	Beginner protection active
70	Transfer leadership
71	Created codes
72	Attacks against you
73	Attacks on your base and when all resources for the next upgrade have been collected
74	Attacks are repelled. Protection ends as soon as you launch your first attack.
